"INDEX","TEAM_BATTING_2B","TEAM_BATTING_3B","TEAM_BATTING_HR","TEAM_BATTING_BB","TEAM_BATTING_SO","TEAM_BASERUN_SB","TEAM_PITCHING_H","TEAM_PITCHING_BB","TEAM_PITCHING_SO","TEAM_FIELDING_E","TEAM_FIELDING_DP","TEAM_BATTING_1B","TARGET_WINS"
9,170,33,83,447,1080,62,1209,447,1080,140,156,923,0
10,151,29,88,516,929,54,1221,516,929,135,164,953,0
14,183,29,93,509,816,59,1395,509,816,156,153,1090,0
47,309,29,159,486,914,148,1539,486,914,124,154,1042,0
63,236,53,10,215,377,226,2793,420,736,572,105,1132,0
74,219,55,37,568,527,365,1544,613,569,490,106,1119,0
83,158,42,33,356,609,185,1626,418,715,328,104,1152,0
98,177,78,23,466,689,150,1342,497,734,226,132,981,0
120,212,42,58,452,584,52,1489,482,622,184,145,1085,0
123,243,40,50,495,640,64,1501,521,673,200,183,1094,0
135,239,55,164,462,670,48,1574,486,705,150,178,1038,0
138,223,57,186,511,751,31,1494,538,790,137,167,954,0
140,232,22,176,503,680,27,1536,529,715,125,160,1030,0
151,195,22,141,485,665,59,1411,485,665,115,114,1053,0
153,192,30,153,434,747,57,1434,434,747,146,180,1059,0
171,204,22,130,491,1008,84,1313,497,1021,154,126,941,0
184,284,25,166,565,1041,77,1464,572,1054,115,172,971,0
193,162,52,17,383,636,138,1351,406,655,301,83,1045,0
213,322,72,116,527,397,90,1816,558,420,232,174,1205,0
217,295,68,49,628,459,77,1620,669,489,166,158,1108,0
226,291,38,98,629,563,54,1702,670,600,155,174,1170,0
230,256,67,105,653,651,40,1559,701,698,179,153,1025,0
241,225,26,118,533,677,18,1450,561,712,160,174,1009,0
291,277,24,152,431,902,89,1516,431,902,105,164,1063,0
294,288,20,164,474,878,121,1556,474,878,102,156,1084,0
348,263,58,47,385,479,63,1540,405,504,232,146,1096,0
350,318,66,32,634,439,83,1639,667,462,218,130,1142,0
357,308,36,39,432,602,45,1601,460,642,199,135,1119,0
367,320,58,130,718,596,70,1679,755,627,178,146,1088,0
368,260,59,110,630,541,72,1648,671,577,167,166,1117,0
372,282,53,115,723,695,47,1595,761,731,146,174,1066,0
382,275,47,146,765,723,29,1631,805,761,178,177,1082,0
388,260,54,148,532,935,39,1465,539,947,130,154,985,0
396,252,28,203,594,855,50,1450,594,855,156,131,967,0
398,239,36,130,546,897,69,1408,571,938,136,147,942,0
403,260,56,214,531,911,66,1571,534,917,133,163,1031,0
407,252,26,135,567,780,48,2367,851,1170,137,162,1165,0
410,259,45,181,500,842,38,1598,500,842,143,128,1113,0
412,322,21,145,599,711,41,1506,603,715,130,147,1009,0
414,310,39,124,623,728,65,1569,623,728,93,123,1096,0
440,196,120,62,781,599,536,1931,937,719,470,91,1231,0
476,175,70,80,615,612,392,1803,733,729,413,110,1189,0
479,237,119,41,593,334,325,2114,756,426,537,114,1260,0
481,213,106,69,526,429,324,2176,655,535,500,120,1358,0
501,224,70,56,416,677,176,1397,440,717,284,100,969,0
503,204,70,18,437,630,134,1360,460,663,281,127,1001,0
506,235,70,36,450,443,121,1494,473,466,237,118,1079,0
519,269,54,76,412,500,55,1574,433,526,177,171,1097,0
522,289,38,80,517,486,72,1709,544,511,154,164,1218,0
550,239,50,145,499,1041,70,1391,499,1041,162,147,957,0
554,203,43,130,415,854,41,1319,415,854,119,149,943,0
566,251,35,107,471,912,93,1411,471,912,174,149,1018,0
578,221,41,104,417,816,77,1420,417,816,114,142,1054,0
596,206,106,38,566,401,334,1849,674,478,411,119,1202,0
599,203,72,15,392,616,227,1346,412,648,250,100,990,0
605,122,61,7,427,706,194,1186,452,725,332,106,930,0
607,183,84,18,445,499,216,1462,468,508,304,107,1105,0
614,252,81,29,494,414,174,1798,572,479,200,134,1192,0
644,218,69,45,738,627,65,1483,776,660,142,189,1078,0
692,262,28,159,573,907,107,1516,577,913,126,132,1058,0
699,284,19,242,499,1030,78,1481,499,1030,100,167,936,0
700,253,23,200,435,1002,137,1450,435,1002,94,166,974,0
716,260,93,26,487,288,446,2088,621,367,321,92,1258,0
721,202,82,44,376,681,160,1674,438,794,414,119,1108,0
722,218,89,21,344,538,152,1851,398,623,373,137,1272,0
729,168,76,23,506,524,296,1427,536,538,327,127,1081,0
731,191,111,22,612,629,306,1546,648,666,314,114,1136,0
746,255,126,37,478,350,54,1705,503,368,193,168,1203,0
763,241,49,45,468,501,52,1507,492,527,127,203,1098,0
774,232,48,155,586,679,49,1515,616,714,144,204,1005,0
776,211,34,232,555,799,47,1556,584,841,119,155,1002,0
788,281,36,106,379,938,59,1573,379,938,144,144,1150,0
789,224,42,171,474,1042,79,1558,474,1042,168,158,1121,0
792,225,46,130,637,961,147,1457,670,1011,116,150,984,0
811,250,27,164,488,1006,124,1419,488,1006,125,131,978,0
835,198,61,19,383,672,186,1351,403,691,270,100,1006,0
837,200,68,10,390,523,201,1495,416,548,262,119,1125,0
861,358,48,105,553,455,55,1716,582,479,179,173,1120,0
862,343,82,98,487,600,67,1764,516,635,184,156,1143,0
863,376,86,129,541,494,69,1898,569,520,191,162,1213,0
871,284,53,74,539,624,50,1614,567,656,173,202,1123,0
879,222,52,156,659,788,48,1548,693,829,163,148,1042,0
887,229,21,134,467,603,61,1566,491,634,133,174,1105,0
892,198,21,156,506,857,109,1367,506,857,114,127,992,0
904,222,46,101,534,692,88,1494,537,696,131,146,1116,0
909,225,32,109,651,625,151,1458,651,625,123,129,1092,0
925,334,30,198,630,1061,143,1530,630,1061,110,146,968,0
940,160,72,30,523,508,289,1731,637,619,445,115,1159,0
976,169,66,26,431,344,156,1680,517,413,398,133,1139,0
981,193,81,12,340,421,207,1614,367,453,285,85,1208,0
983,223,62,20,423,513,298,1544,451,535,286,93,1144,0
984,200,76,29,483,548,262,1457,508,561,296,83,1080,0
989,218,99,24,716,554,254,1518,753,583,271,113,1102,0
995,284,106,61,616,398,101,1932,652,421,245,113,1374,0
1000,296,95,38,630,445,93,1712,663,468,207,159,1198,0
1001,299,106,54,622,445,149,1718,659,471,221,183,1164,0
1007,298,82,60,500,550,72,1637,526,579,187,176,1116,0
1016,228,39,80,535,501,41,1453,563,527,203,149,1034,0
1027,272,46,114,532,634,32,1637,560,667,138,157,1124,0
1033,206,32,168,610,775,36,1490,642,815,130,138,1010,0
1070,257,21,204,546,1268,87,1413,546,1268,135,157,931,0
1081,253,102,33,262,482,287,2901,505,930,652,154,1116,0
1098,325,30,166,470,1145,89,1461,470,1145,103,174,940,0
1150,294,36,187,590,999,89,1458,590,999,101,136,941,0
1160,237,64,25,360,814,129,1734,482,1090,609,124,969,0
1169,263,58,118,591,675,155,1431,591,675,155,151,992,0
1172,305,59,98,498,644,216,1469,498,644,150,153,1007,0
1174,266,59,115,508,709,185,1633,508,709,141,150,1193,0
1176,295,58,132,442,758,133,1603,442,758,127,140,1118,0
1178,269,52,117,400,832,106,1487,400,832,129,157,1049,0
1184,318,44,101,501,884,108,1483,504,889,123,162,1011,0
1193,296,52,152,538,938,128,1604,541,944,126,190,1094,0
1196,285,42,140,524,921,140,1415,524,921,130,153,948,0
1199,289,34,126,424,1008,53,1445,424,1008,125,163,996,0
1207,199,81,29,408,508,386,1576,472,588,581,89,1053,0
1218,195,106,30,522,288,297,1721,571,315,344,115,1241,0
1223,168,56,16,435,675,217,1280,461,690,363,92,969,0
1226,155,69,20,368,666,132,1359,403,713,287,103,998,0
1227,116,63,29,340,819,119,1155,358,845,254,69,890,0
1229,175,77,26,457,743,159,1299,481,782,246,131,957,0
1241,247,80,59,357,335,83,1737,376,352,219,146,1265,0
1244,265,85,68,463,406,39,1813,490,430,221,138,1294,0
1246,206,78,41,390,523,112,1473,413,554,239,124,1066,0
1248,299,73,105,534,481,85,1721,565,509,203,120,1148,0
1249,319,77,128,506,569,56,1830,532,599,178,176,1216,0
1253,303,55,84,584,592,59,1733,622,631,192,150,1184,0
1261,277,36,65,602,509,85,1547,633,535,145,158,1093,0
1305,232,14,130,478,966,155,1373,478,966,179,118,997,0
1314,215,35,158,527,1151,143,1649,593,1295,146,135,1058,0
1323,226,30,203,536,1092,102,1450,536,1092,73,145,991,0
1328,223,57,18,259,391,303,2985,524,792,780,75,1176,0
1353,228,49,120,500,909,106,1335,500,909,127,168,938,0
1363,233,36,97,435,677,52,1464,438,681,137,157,1089,0
1371,272,35,82,511,779,256,1477,511,779,89,146,1088,0
1372,240,25,125,555,932,138,1426,555,932,131,148,1036,0
1389,183,61,11,304,814,161,1346,326,873,336,104,1000,0
1393,141,79,9,392,585,181,1347,418,609,294,95,1035,0
1421,310,89,66,610,421,110,1795,646,446,193,173,1230,0
1431,274,66,63,538,674,54,1536,566,709,222,170,1057,0
1437,237,46,53,610,639,50,1419,642,672,137,160,1013,0
1442,226,40,117,554,771,14,1410,583,811,135,167,957,0
1450,257,42,150,554,969,92,1396,554,969,172,158,947,0
1463,259,47,82,604,684,99,1472,604,684,146,171,1084,0
1464,256,46,112,526,693,66,1544,526,693,134,203,1130,0
1470,282,41,141,502,779,68,1453,502,779,120,139,989,0
1471,257,39,196,501,977,81,1446,501,977,118,168,954,0
1484,289,30,106,506,990,119,1486,512,1002,93,146,1043,0
1507,195,31,103,353,932,36,1372,353,932,166,154,1043,0
1514,203,29,98,547,958,89,1365,547,958,112,135,1035,0
1526,172,26,112,436,1031,141,1314,436,1031,151,171,1004,0
1549,323,41,200,547,1071,146,1469,547,1071,104,131,905,0
1552,185,86,32,326,642,313,2073,489,963,680,98,1079,0
1556,218,135,29,449,459,252,2000,547,559,488,93,1260,0
1564,153,65,17,437,538,201,1420,469,560,352,101,1089,0
1585,313,116,160,677,599,96,1862,712,630,219,139,1181,0
1586,293,83,164,792,587,146,1869,839,622,177,139,1225,0
1590,277,76,113,657,510,74,1729,714,554,164,124,1124,0
1591,334,88,193,741,629,82,1879,785,666,173,157,1160,0
1592,297,77,183,746,639,63,1720,785,672,178,141,1078,0
1603,264,79,146,655,503,25,1638,689,529,126,169,1068,0
1612,210,57,153,591,746,52,1562,622,785,129,193,1065,0
1634,229,41,152,515,597,66,1479,521,604,124,185,1039,0
1645,208,19,147,427,1027,119,1322,427,1027,126,164,948,0
1647,281,18,163,536,903,78,1462,536,903,112,165,1000,0
1673,217,115,23,517,357,275,1638,551,377,280,123,1182,0
1674,236,85,35,565,579,234,1583,598,613,224,114,1139,0
1687,280,70,66,565,488,60,1585,610,527,187,141,1052,0
1688,296,74,59,580,343,103,1777,610,361,204,130,1260,0
1700,301,59,104,536,567,64,1634,571,604,224,140,1069,0
1708,229,55,64,636,592,39,1451,669,623,150,169,1031,0
1713,223,37,94,718,590,55,1444,755,621,147,156,1019,0
1717,215,43,118,505,765,42,1466,531,805,175,197,1018,0
1721,223,36,116,540,783,17,1442,568,824,134,157,996,0
1730,210,28,148,617,953,100,1400,617,953,137,162,1014,0
1737,209,33,114,596,823,343,1335,600,828,145,131,971,0
1748,263,33,199,593,1056,140,1432,593,1056,142,122,937,0
1749,251,22,156,580,926,129,1474,580,926,105,151,1045,0
1763,279,28,205,609,1008,46,1450,609,1008,102,144,938,0
1778,281,102,35,391,473,580,2033,476,576,643,67,1251,0
1780,291,79,52,650,604,307,1987,792,736,566,122,1209,0
1784,230,52,29,324,591,273,1932,477,870,658,103,1001,0
1794,336,90,75,573,324,341,2545,709,401,456,131,1557,0
1803,181,58,25,402,550,169,1440,428,559,427,99,1087,0
1804,199,87,17,433,453,192,1548,461,474,293,106,1149,0
1819,242,57,68,300,562,106,1552,318,595,246,143,1099,0
1832,256,44,64,406,511,59,1635,433,545,195,166,1170,0
1833,311,38,61,433,581,57,1749,471,632,214,152,1199,0
1844,207,28,59,472,527,57,1414,497,554,246,158,1050,0
1847,239,41,96,463,629,72,1513,487,662,221,133,1062,0
1854,225,53,139,686,708,46,1439,722,745,116,123,951,0
1855,218,52,127,615,708,47,1453,647,745,151,147,984,0
1857,250,59,130,603,916,54,1576,634,964,136,143,1059,0
1864,206,53,145,497,1098,46,1398,500,1105,158,154,985,0
1865,224,49,117,510,969,56,1448,510,969,113,147,1058,0
1869,225,58,102,522,1073,72,1315,525,1080,113,135,922,0
1880,250,38,104,563,654,156,2297,852,990,130,136,1125,0
1881,245,25,112,506,831,128,1417,506,831,121,138,1035,0
1882,209,45,125,640,906,143,1352,640,906,152,117,973,0
1894,296,34,106,559,995,81,1640,629,1119,108,156,1022,0
1896,290,35,116,519,1032,92,1390,519,1032,105,134,949,0
1916,257,80,52,515,573,284,1810,632,703,471,113,1086,0
1918,178,85,35,512,604,246,1654,614,725,570,117,1080,0
1921,277,155,60,541,259,319,2264,674,323,441,114,1325,0
1926,213,133,29,418,375,195,1860,454,408,392,127,1336,0
1938,217,112,52,552,613,168,1489,581,645,243,138,1034,0
1979,190,32,97,511,762,45,1329,538,802,190,176,944,0
1982,221,63,96,495,686,23,1397,521,722,175,184,948,0
1987,248,59,126,511,786,36,1653,538,827,135,171,1138,0
1997,235,70,130,444,871,66,1522,444,871,137,195,1087,0
2004,278,57,133,474,878,260,1550,474,878,145,137,1082,0
2011,237,33,98,438,841,96,1412,438,841,128,142,1044,0
2015,243,46,111,560,959,120,1361,567,971,126,130,944,0
2022,276,30,141,513,1094,95,1621,577,1231,136,155,994,0
2025,271,35,107,393,1060,159,1395,393,1060,140,161,982,0
2027,320,31,168,564,1032,86,1506,564,1032,132,169,987,0
2031,269,39,143,418,1073,63,1446,421,1080,104,190,986,0
2066,194,53,94,537,775,101,1332,540,780,141,155,983,0
2073,239,25,136,484,917,96,1442,484,917,135,135,1042,0
2087,279,37,157,602,1177,131,1413,602,1177,141,155,940,0
2092,269,39,130,600,977,99,1416,600,977,109,136,978,0
2125,216,97,33,360,712,361,2203,521,1030,743,96,1177,0
2148,169,51,24,546,619,217,1370,578,645,244,79,1050,0
2162,251,98,79,497,413,145,1766,526,437,198,164,1240,0
2191,215,53,140,660,662,44,1496,694,696,144,190,1014,0
2203,231,31,200,513,807,72,1496,504,792,139,150,1062,0
2218,227,41,134,568,842,90,1392,568,842,178,136,990,0
2221,200,44,80,512,845,101,1326,515,850,157,125,994,0
2225,229,26,112,528,980,126,1499,528,980,169,134,1132,0
2232,215,48,141,471,973,95,1345,471,973,108,151,941,0
2267,210,139,66,542,355,233,1988,665,436,523,124,1205,0
2291,185,80,34,413,579,149,1682,519,727,276,146,1040,0
2299,272,86,95,503,545,87,1705,529,573,208,148,1168,0
2317,288,62,105,572,498,39,1667,602,524,118,170,1130,0
2318,269,46,67,542,513,58,1658,570,540,143,158,1194,0
2353,300,49,101,451,781,117,1541,451,781,122,174,1091,0
2403,175,18,59,529,974,133,1209,556,1025,175,155,897,0
2411,265,27,125,483,593,92,1636,486,597,148,170,1209,0
2415,228,29,121,423,812,82,1470,426,817,139,139,1083,0
2424,284,39,181,483,984,113,1472,483,984,130,145,968,0
2441,218,39,99,451,649,28,1374,454,653,131,164,1010,0
2464,287,36,195,470,1094,156,1489,470,1094,97,184,971,0
2465,305,38,187,522,1142,71,1457,522,1142,107,159,927,0
2481,221,98,56,638,451,319,2031,789,558,492,121,1267,0
2500,162,23,95,492,860,71,1299,511,893,139,146,971,0
2501,190,23,125,695,777,77,1345,695,777,163,156,1007,0
2520,263,37,102,463,976,196,1381,463,976,124,113,979,0
2521,270,36,122,542,860,228,1410,542,860,159,144,982,0
2525,339,34,172,420,1084,75,1423,420,1084,131,150,878,0
